Simulation started at 0 with time steps from 0 to 10.
Initial probability density range: vmin=4.810183784379681e-86, vmax=0.6355882989985056.
Step 207, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.2938, 2.3470)
Step 208, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.3077, 2.3382)
Step 209, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.3216, 2.3294)
Step 210, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.3354, 2.3204)
Snapshot saved for time step 210.
Step 211, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.3492, 2.3114)
Step 212, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.3628, 2.3023)
Step 213, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.3765, 2.2932)
Step 214, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.3900, 2.2839)
Step 215, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.4035, 2.2745)
Step 216, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.4169, 2.2651)
Step 217, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.4303, 2.2556)
Step 218, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.4436, 2.2460)
Step 219, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.4568, 2.2363)
Step 220, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.4699, 2.2266)
Snapshot saved for time step 220.
Step 221, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.4830, 2.2168)
Step 222, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.4960, 2.2069)
Step 223, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.5089, 2.1969)
Step 224, Time = 0.22, ProbDensSum = 1.0000, Center = (-1.5218, 2.1868)
Step 225, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.5346, 2.1766)
Step 226, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.5473, 2.1664)
Step 227, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.5600, 2.1561)
Step 228, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.5726, 2.1457)
Step 229, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.5851, 2.1353)
Step 230, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.5975, 2.1248)
Snapshot saved for time step 230.
Step 231, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.6099, 2.1141)
Step 232, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.6222, 2.1035)
Step 233, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.6344, 2.0927)
Step 234, Time = 0.23, ProbDensSum = 1.0000, Center = (-1.6466, 2.0819)
Step 235, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.6586, 2.0710)
Step 236, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.6706, 2.0600)
Step 237, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.6825, 2.0490)
Step 238, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.6944, 2.0378)
Step 239, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.7061, 2.0266)
Step 240, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.7178, 2.0154)
Snapshot saved for time step 240.
Step 241, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.7294, 2.0040)
Step 242, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.7409, 1.9926)
Step 243, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.7524, 1.9812)
Step 244, Time = 0.24, ProbDensSum = 1.0000, Center = (-1.7638, 1.9696)
Step 245, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.7751, 1.9580)
Step 246, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.7863, 1.9463)
Step 247, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.7974, 1.9346)
Step 248, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.8085, 1.9228)
Step 249, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.8194, 1.9109)
Step 250, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.8303, 1.8990)
Snapshot saved for time step 250.
Step 251, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.8411, 1.8870)
Step 252, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.8518, 1.8749)
Step 253, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.8625, 1.8628)
Step 254, Time = 0.25, ProbDensSum = 1.0000, Center = (-1.8730, 1.8506)
Step 255, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.8835, 1.8383)
Step 256, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.8939, 1.8260)
Step 257, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9042, 1.8136)
Step 258, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9144, 1.8011)
Step 259, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9246, 1.7886)
Step 260, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9346, 1.7761)
Snapshot saved for time step 260.
Step 261, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9446, 1.7634)
Step 262, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9545, 1.7507)
Step 263, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9643, 1.7380)
Step 264, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9740, 1.7252)
Step 265, Time = 0.27, ProbDensSum = 1.0000, Center = (-1.9836, 1.7123)
Step 266, Time = 0.27, ProbDensSum = 1.0000, Center = (-1.9931, 1.6994)
Step 267, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0026, 1.6864)
Step 268, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0120, 1.6734)
Step 269, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0212, 1.6603)
Step 270, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0304, 1.6472)
Snapshot saved for time step 270.
Step 271, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0395, 1.6340)
Step 272, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0485, 1.6207)
Step 273, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0574, 1.6074)
Step 274, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0663, 1.5941)
Step 275, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.0750, 1.5807)
Step 276, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.0836, 1.5672)
Step 277, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.0922, 1.5537)
Step 278, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1007, 1.5401)
Step 279, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1090, 1.5265)
Step 280, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1173, 1.5129)
Snapshot saved for time step 280.
Step 281, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1255, 1.4992)
Step 282, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1336, 1.4854)
Step 283, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1416, 1.4716)
Step 284, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1495, 1.4578)
Step 285, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.1574, 1.4439)
Step 286, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.1651, 1.4299)
Step 287, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.1727, 1.4159)
