Simulation started at 0 with time steps from 0 to 10.
Initial probability density range: vmin=4.810183784379681e-86, vmax=0.6355882989985056.
Step 160, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6635, 2.6115)
Snapshot saved for time step 160.
Step 161, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6801, 2.6066)
Step 162, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6967, 2.6017)
Step 163, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.7132, 2.5966)
Step 164, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.7296, 2.5914)
Step 165, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7461, 2.5861)
Step 166, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7624, 2.5807)
Step 167, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7788, 2.5753)
Step 168, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7951, 2.5697)
Step 169, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.8113, 2.5640)
Step 170, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.8276, 2.5582)
Snapshot saved for time step 170.
Step 171, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.8437, 2.5523)
Step 172, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.8598, 2.5463)
Step 173, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.8759, 2.5402)
Step 174, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.8919, 2.5340)
Step 175, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.9079, 2.5277)
Step 176, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.9238, 2.5214)
Step 177, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.9397, 2.5149)
Step 178, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.9555, 2.5083)
Step 179, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.9713, 2.5016)
Step 180, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.9870, 2.4948)
Snapshot saved for time step 180.
Step 181, Time = 0.18, ProbDensSum = 1.0000, Center = (-1.0027, 2.4880)
Step 182, Time = 0.18, ProbDensSum = 1.0000, Center = (-1.0183, 2.4810)
Step 183, Time = 0.18, ProbDensSum = 1.0000, Center = (-1.0339, 2.4739)
Step 184, Time = 0.18, ProbDensSum = 1.0000, Center = (-1.0494, 2.4668)
Step 185, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.0648, 2.4595)
Step 186, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.0802, 2.4522)
